a,20.83,3.0,u,g,aa,v,0.04,t,f,0,f,g,100.0,0,+
b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,0.0,284,+
b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280.0,0,-
b,26.75,2.0,u,g,d,v,0.75,f,f,0,t,g,80.0,0,-
b,41.5,1.54,u,g,i,bb,3.5,f,f,0,f,g,216.0,0,+
b,69.17,9.0,u,g,ff,ff,4.0,f,t,1,f,g,70.0,6,-
b,18.17,2.46,u,g,c,n,0.96,f,t,2,t,g,160.0,587,-
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260.0,0,-
a,17.83,11.0,u,g,x,h,1.0,t,t,11,f,g,0.0,3000,+
b,41.58,1.75,u,g,k,v,0.21,t,f,0,f,g,160.0,0,-
a,17.33,9.5,u,g,aa,v,1.75,f,t,10,t,g,0.0,10,-
a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,240.0,4,-
b,34.17,5.25,u,g,w,v,0.085,f,f,0,t,g,290.0,6,+
b,20.17,9.25,u,g,c,v,1.665,t,t,3,t,g,40.0,28,+
b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,225.0,0,+
b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,80.0,0,+
b,31.08,3.085,u,g,c,v,2.5,f,t,2,t,g,160.0,41,-
b,18.83,0.0,u,g,q,v,0.665,f,f,0,f,g,160.0,1,-
b,27.67,2.0,u,g,x,h,1.0,t,t,4,f,g,140.0,7544,+
a,21.08,5.0,y,p,ff,ff,0.0,f,f,0,f,g,0.0,0,-
b,19.42,7.25,u,g,m,v,0.04,f,t,1,f,g,100.0,1,-
a,46.0,4.0,u,g,j,j,0.0,t,f,0,f,g,100.0,960,+
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171.0,0,-
b,40.92,2.25,y,p,x,h,10.0,t,f,0,t,g,176.0,0,-
a,39.08,4.0,u,g,c,v,3.0,f,f,0,f,g,480.0,0,-
b,21.58,0.79,y,p,cc,v,0.665,f,f,0,f,g,160.0,0,-
b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,220.0,948,+
b,40.92,0.835,u,g,ff,ff,0.0,t,f,0,f,g,130.0,1,-
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,160.0,0,-
b,20.67,0.415,u,g,c,v,0.125,f,f,0,f,g,0.0,44,-
a,47.42,3.0,u,g,x,v,13.875,t,t,2,t,g,519.0,1704,+
b,21.92,0.54,y,p,x,v,0.04,t,t,1,t,g,840.0,59,+
a,21.5,6.0,u,g,aa,v,2.5,t,t,3,f,g,80.0,918,+
a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,0.0,2,-
b,25.67,3.25,u,g,c,h,2.29,f,t,1,t,g,416.0,21,-
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711.0,0,+
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,280.0,0,+
b,34.75,15.0,u,g,r,n,5.375,t,t,9,t,g,0.0,134,+
b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,280.0,0,-
b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,128.0,0,+
a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,100.0,0,+
b,20.25,9.96,u,g,e,dd,0.0,t,f,0,f,g,0.0,0,+
b,22.17,0.585,y,p,ff,ff,0.0,f,f,0,f,g,100.0,0,-
b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,520.0,196,+
b,42.0,9.79,u,g,x,h,7.96,t,t,8,f,g,0.0,0,+
b,20.08,0.25,u,g,q,v,0.125,f,f,0,f,g,200.0,0,-
a,69.5,6.0,u,g,ff,ff,0.0,f,f,0,f,s,0.0,0,-
b,25.17,3.0,u,g,c,v,1.25,f,t,1,f,g,0.0,22,-
a,28.08,15.0,y,p,e,z,0.0,t,f,0,f,g,0.0,13212,+
b,19.17,9.5,u,g,w,v,1.5,t,f,0,f,g,120.0,2206,+
b,17.5,22.0,l,gg,ff,o,0.0,f,f,0,t,p,450.0,100000,+
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,204.0,0,+
a,32.17,1.46,u,g,w,v,1.085,t,t,16,f,g,120.0,2079,+
a,26.17,2.0,u,g,j,j,0.0,f,f,0,t,g,276.0,1,-
a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,220.0,1000,-
b,29.67,0.75,y,p,c,v,0.04,f,f,0,f,g,240.0,0,-
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329.0,0,-
a,47.25,0.75,u,g,q,h,2.75,t,t,1,f,g,333.0,892,+
b,50.75,0.585,u,g,ff,ff,0.0,f,f,0,f,g,145.0,0,-
a,52.83,15.0,u,g,c,v,5.5,t,t,14,f,g,0.0,2200,+
b,20.75,5.085,y,p,j,v,0.29,f,f,0,f,g,140.0,184,-
b,37.75,7.0,u,g,q,h,11.5,t,t,7,t,g,300.0,5,-
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0.0,11202,+
b,18.67,5.0,u,g,q,v,0.375,t,t,2,f,g,0.0,38,-
a,23.0,11.75,u,g,x,h,0.5,t,t,2,t,g,300.0,551,+
b,17.08,0.25,u,g,q,v,0.335,f,t,4,f,g,160.0,8,-
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288.0,0,-
b,26.17,0.25,u,g,i,bb,0.0,t,f,0,t,g,0.0,0,+
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,200.0,0,-
b,58.58,2.71,u,g,c,v,2.415,f,f,0,t,g,320.0,0,-
b,39.08,6.0,u,g,m,v,1.29,t,t,5,t,g,108.0,1097,+
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0.0,790,+
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,0.0,195,-
a,24.5,2.415,y,p,c,v,0.0,f,f,0,f,g,120.0,0,-
b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,120.0,475,-
b,28.67,14.5,u,g,d,v,0.125,f,f,0,f,g,0.0,286,-
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164.0,400,-
a,28.75,3.75,u,g,c,v,1.085,t,t,1,t,g,371.0,0,+
a,22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,144.0,0,-
a,27.67,1.5,u,g,m,v,2.0,t,f,0,f,s,368.0,0,-
b,34.92,2.5,u,g,w,v,0.0,t,f,0,t,g,239.0,200,+
a,33.75,0.75,u,g,k,bb,1.0,t,t,3,t,g,212.0,0,-
a,18.17,10.0,y,p,q,h,0.165,f,f,0,f,g,340.0,0,-
